"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ";"анйоВ";"";"Война";" ";"и мир.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" анйоВ ";"и";"Война";"и";" ";"мир.";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" и анйоВ ";"рим";"Война и";"мир";". ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Война и мир."
" ";"ЫРОТКАДЕР";"";"РЕДАКТОРЫ";": ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"РЕДАКТОРЫ:"
" ";"Г";"";"Г";". ";"А. ВОЛКОВ";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Г. А. ВОЛКОВ"
" .Г ";"А";"Г.";"А";". ";"ВОЛКОВ";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Г. А. ВОЛКОВ"
" .А .Г ";"ВОКЛОВ";"Г. А.";"ВОЛКОВ";" ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"Г. А. ВОЛКОВ"
" ";"М";"";"М";". ";"А. ЦЯВЛОВСКИЙ";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"М. А. ЦЯВЛОВСКИЙ"
" .М ";"А";"М.";"А";". ";"ЦЯВЛОВСКИЙ";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"М. А. ЦЯВЛОВСКИЙ"
" .А .М ";"ЙИКСВОЛВЯЦ";"М. А.";"ЦЯВЛОВСКИЙ";" ";"";"Л. Н. Толстой. Война и мир / Том второй (1869)";"Л. Н. Толстой";"1828";"Война и мир / Том второй";"1869";"";"";"";"";"";"";"омонимия не снята";"М. А. ЦЯВЛОВСКИЙ"
